,id_wallapop,descripcion,precio,latitud,longitud,ciudad,provincia
0,1,nisan almera tino del 2004 ba por cadena le vendo por no poder conducir el coche está bien  se puede ber y probar,2200,40.3016463,-3.4418282,Arganda del Rey,Madrid
1,2,vendo mi coche en perfecto estado de motor y de carroceria unico dueño ,6500,40.62025638385625,-3.9106358912567067,Hoyo de Manzanares,Madrid
2,3,"coche usado por mi mujer para ir a trabajar.
Muy cuidado y con todas sus revisiones en casa oficial.
Motivo: coche más grande por aumento de familia.
no fumadores.",11500,40.49418995984821,-3.961537041724751,Villanueva del Pardillo,Madrid
3,4,"se vende nissan patrol k260 embrague nuevo , bomba de agua , correas, rd28 turbo el coche de mecanica esta perfecto com todo echo de chapa un poco feo, itv en vigor hasta febrero del 25 , con posibilidad de dar otro juego de ruedas con llantas como las de serie ,mas fotos y video por privado , se valora cambio por jeep o algo similar .se esuchan ofertas",4500,40.41901442886196,-3.7074430906707376,Madrid,Madrid
4,5,"Nissan Qashqai en excelente estado de conservación muy buen funcionamiento en general vehículo nacional quilómetros reales y certificados por escrito, Extras Faros de xenón luz de día Led sensor de luces de lluvia velocidad de crucero volante multifuncional espejos eléctricos y  abatibles Llantas de aleación en 17 Pulgadas Climatización Bi Zona Entrada Aux y Usb apoya brazos trasero con porta bebidas sistema de retención Isofix sensor de aparcamiento delantero y trasero bola de remolque homologada distintivo medioambiental C ",10000,40.46719922597709,-3.473548561979484,Torrejón de Ardoz,Madrid
5,6,"IVA INCLUIDO en el Precio!!--IMPECABLE ESTADO y Muy Cuidada--Distintivo Ambiental ""C"" Verde--IVA DEDUCIBLE en Empresas y Autónomos--ITV Recién Pasada hasta 10/2025---Garantía 1 Año(Consultar Condiciones)---Motorización: 1.3 Multijet 95cv Euro 6---Matriculación: 08/2018--Kilometraje Garantizado---Ningún Golpe Estructural--Historial de Mantenimiento--Cierre centralizado con Mando a Distancia--Manos Libres integrado--Conector USB--Elevalunas Eléctricos--Aire Acondicionado--Ordenador Abordo--2 LLaves-- **(renault kangoo,fiat doblo,nissan nv,van,citroen nemo,fiorino,bipper,citan,peugeot partner,dacia dokker,opel combo,ford connect,transit,courier,berlingo,tourneo,qubo,combi,vito)*",7950,40.57666,-4.00196,Galapagar,Madrid
6,7,"IVA DEDUCIBLE en Empresas y Autónomos--ITV en Vigor hasta 05/2025--Puerta Lateral Corredera--Pantalla Táctil+Mandos en el Volante--Mantenimientos al dia--Garantía 1 Año(Consultar Condiciones)--Historial detallado de Mantenimientos---Motorización: 1.3 Multijet 95cv Euro 6--Kilometraje Garantizado--Ningún Golpe Estructural--Historial detallado de Mantenimiento-- Espejos Eléctricos--Cierre centralizado Mando a Distancia y bloqueo automático de puertas-Manos Libres integrado--Conector USB-Elevalunas Eléctricos-Aire Acondicionado--Ordenador Abordo--Faros de Niebla--Control de Estabilidad y tracción---Sistema de Ayuda al Arranque en Pendiente---2 Llaves**(kangoo,combo,nissan nv,van,nemo,fiorino,bipper,citan,partner,dokker,opel,connect,transit,courier,berlingo)*",6450,40.57666,-4.00196,Galapagar,Madrid
